uniform_date,21_d_MA,raw_sales
2/24/2013,17951.83287,0
2/25/2013,17332.64912,8777.289385
2/26/2013,17581.19221,25321.70669
2/27/2013,17581.19221,14206.57969
2/28/2013,17581.19221,25339.11915
3/1/2013,17576.82995,41758.10692
3/2/2013,17440.49702,0
3/3/2013,17933.72399,0
3/4/2013,17593.82538,24233.94492
3/5/2013,16342.97511,21390.96846
3/6/2013,16342.97511,23449.94877
3/7/2013,16342.97511,9889.578308
3/8/2013,16196.03019,18664.72669
3/9/2013,16203.37798,0
3/10/2013,15869.89079,0
3/11/2013,15902.90818,12303.93438
3/12/2013,14523.32677,18935.43815
3/13/2013,14523.32677,19815.98892
3/14/2013,14523.32677,12138.71031
3/15/2013,13945.75842,14176.05538
3/16/2013,14432.08513,0
3/17/2013,13985.85248,0
3/18/2013,21023.47663,6166.191231
3/19/2013,21730.68506,25452.27123
3/20/2013,21730.68506,8280.768846
3/21/2013,21730.68506,25925.81285
3/22/2013,21574.36302,17244.00646
3/23/2013,21071.79532,0
3/24/2013,21195.76206,0
3/25/2013,21704.03203,13970.99962
3/26/2013,22589.14368,30032.62
3/27/2013,22589.14368,15520.73785
3/28/2013,22589.14368,134942.7458
3/29/2013,22823.41958,31231.27662
3/30/2013,22442.2773,0
3/31/2013,22760.94099,0
4/1/2013,22526.43152,9526.211846
4/2/2013,23691.8261,10005.19677
4/3/2013,23691.8261,22018.78262
4/4/2013,23691.8261,21170.27662
4/5/2013,25491.72636,29903.80862
4/6/2013,24648.70623,0
4/7/2013,25382.44633,0
4/8/2013,18332.90026,10329.09369
4/9/2013,17454.02659,18679.66608
4/10/2013,17454.02659,13943.17746
4/11/2013,17454.02659,21758.76
4/12/2013,18421.38029,37952.17169
4/13/2013,22400.31755,0
4/14/2013,22223.40621,0
4/15/2013,25117.33543,45953.84285
4/16/2013,25110.4029,15052.80062
4/17/2013,25110.4029,28558.73492
4/18/2013,25110.4029,9677.735
4/19/2013,25149.71347,15614.36754
4/20/2013,25746.11705,0
4/21/2013,25426.07937,0
4/22/2013,24982.9586,26715.34308
4/23/2013,26291.64051,80707.85108
4/24/2013,26291.64051,18875.20415
4/25/2013,26291.64051,72593.17269
4/26/2013,25047.52295,29780.62292
4/27/2013,25782.01998,0
4/28/2013,27063.3795,0
4/29/2013,28410.49873,11027.61238
4/30/2013,29078.8112,29277.29892
5/1/2013,29078.8112,8256.354154
5/2/2013,29078.8112,13884.84462
5/3/2013,28534.93432,61206.44262
